
siteFam|siteID|sensorFam|sensorID|long_[deg]|lat_[deg]|alt_[m]|address|tBegin|tEnd|measurements
ufloSites|S0049|AMfixed|1999150|-1.511462|53.402892|104.0|""|2021-09-01|2023-03-23|AtmPress RelHum NO NO2 O3 PartCount PM1 PM10 PM25 PM4 AirTemp TSP\
ufloSites|S0015|AMfixed|2003150|-1.43697504|53.39974296|41.0|Brightside Lane / Woodbine Road|2021-09-01|2023-03-23|AtmPress RelHum NO NO2 O3 AirTemp\
ufloSites|S0016|AMfixed|2005150|-1.455912022|53.38987797|48.0|Savile Street @ Tesco car park entrance|2021-09-01|2023-03-23|AtmPress RelHum NO NO2 O3 AirTemp\
ufloSites|S0022|AMfixed|2009150|-1.499302033|53.36748504|104.0|334-348 Sharrow Vale Road / Cowlishaw Road|2021-09-01|2023-03-23|AtmPress RelHum NO NO2 O3 AirTemp\
ufloSites|S0023|AMfixed|2450206|-1.482924|53.357512|83.0|559 Abbeydale Road / Glen Road|2021-09-01|2023-03-23|AtmPress CO RelHum NO NO2 O3 PartCount PM1 PM10 PM25 PM4 SO2 AirTemp TSP\
ufloSites|S0024|AMfixed|2001150|-1.477618|53.37009|79.0|London Road, Highfield|2021-09-01|2023-03-23|AtmPress RelHum NO NO2 O3 AirTemp\
ufloSites|S0025|AMfixed|2006150|-1.425918|53.363812|178.0|52 Fairleigh|2021-09-01|2023-03-23|AtmPress RelHum NO NO2 O3 AirTemp\
ufloSites|S0026|AMfixed|2004150|-1.441141|53.380657|88.0|210 Maltravers Rd|2021-09-01|2023-03-23|AtmPress RelHum NO NO2 O3 AirTemp\
ufloSites|S0021|AMfixed|2008150|-1.506234035|53.37329202|151.0|Off Endcliffe Crescent / Stanage car park|2021-09-01|2023-03-23|AtmPress RelHum NO NO2 O3 AirTemp\
ufloSites|S0051|AMfixed|2000150|-1.491209|53.352818|101.0|Carter Knowle Primary School|2021-09-01|2023-03-23|AtmPress RelHum NO NO2 O3 PartCount PM1 PM10 PM25 PM4 AirTemp TSP\
ufloSites|S0019|AMfixed|2002150|-1.495737964|53.39309704|126.0|Cundy Street @ St. Mary's CofE  Primary School|2021-09-01|2023-03-23|AtmPress RelHum NO NO2 O3 AirTemp\
ufloSites|S0018|AMfixed|2007150|-1.503414|53.411101|70.0|Catch Bar Ln|2021-09-01|2023-03-23|AtmPress RelHum NO NO2 O3 AirTemp\
ufloSites|S0048|AMfixed|2450204|-1.501559|53.367129|108.0|Hunter's Bar Infant School|2021-07-29|2023-03-23|AtmPress CO RelHum NO NO2 O3 PartCount PM1 PM10 PM25 PM4 SO2 AirTemp TSP\
